timestamp,engine,metric,unit,value,cpus,mem_g,arch,notes
2026-06-24T11:55:57,colima,host_idle_delta,MB,377,4,4,arm64,baseline=13157MB
2026-06-24T11:55:57,colima,host_1ctr_delta,MB,310,4,4,arm64,1 alpine idle
2026-06-24T11:57:15,orbstack,host_idle_delta,MB,90,4,4,arm64,baseline=13157MB
2026-06-24T11:57:15,orbstack,host_1ctr_delta,MB,315,4,4,arm64,1 alpine idle
